BestBid,BestAsk,Spread,Depth
2025-11-11 18:50:29.686897,99.1197,99.1198,0.000125111,2406
2025-11-11 18:50:29.689709,99.1198,99.1199,4.92546e-05,2263
2025-11-11 18:50:29.692827,99.1199,99.12,9.83344e-05,2695
2025-11-11 18:50:29.695380,99.12,99.12,2.7166e-06,2576
2025-11-11 18:50:29.698235,99.1199,99.12,9.83344e-05,2753
2025-11-11 18:50:29.700719,99.1199,99.12,9.83344e-05,2608
2025-11-11 18:50:29.703157,99.12,99.12,2.7166e-06,2443
2025-11-11 18:50:29.706026,99.12,99.12,2.7166e-06,2343
2025-11-11 18:50:29.708951,99.12,99.12,3.81235e-05,1818
2025-11-11 18:50:29.711624,99.12,99.12,3.11404e-05,1422
2025-11-11 18:50:29.714764,99.12,99.1201,3.12906e-05,1625
2025-11-11 18:50:29.717197,99.12,99.1201,3.12906e-05,1003
2025-11-11 18:50:29.719708,99.1201,99.1201,2.59062e-05,909
2025-11-11 18:50:29.722714,99.1201,99.1201,2.93822e-07,1057
2025-11-11 18:50:29.725812,99.1201,99.1201,2.93822e-07,1044
2025-11-11 18:50:29.728763,99.1201,99.1201,2.59062e-05,927
2025-11-11 18:50:29.731542,99.1201,99.1201,2.93822e-07,1307
2025-11-11 18:50:29.733995,99.1201,99.1201,2.6647e-05,1123
2025-11-11 18:50:29.736547,99.1201,99.1201,2.93822e-07,1309
2025-11-11 18:50:29.739187,99.1201,99.1201,2.59062e-05,1381
2025-11-11 18:50:29.741988,99.1201,99.1201,2.59062e-05,995
2025-11-11 18:50:29.744610,99.12,99.1201,3.12906e-05,1466
2025-11-11 18:50:29.747591,99.12,99.1201,3.12906e-05,1088
2025-11-11 18:50:29.750103,99.12,99.12,3.11404e-05,1454
2025-11-11 18:50:29.752911,99.12,99.12,3.81235e-05,1283
2025-11-11 18:50:29.755792,99.12,99.12,3.11404e-05,1228
2025-11-11 18:50:29.758415,99.12,99.1201,3.12906e-05,1094
2025-11-11 18:50:29.760830,99.12,99.12,3.11404e-05,1536
2025-11-11 18:50:29.763506,99.12,99.12,3.11404e-05,1418
2025-11-11 18:50:29.766380,99.12,99.1201,3.12906e-05,934
2025-11-11 18:50:29.768872,99.12,99.1201,3.12906e-05,827
2025-11-11 18:50:29.771585,99.1201,99.1201,5.52157e-06,1116
2025-11-11 18:50:29.774165,99.1201,99.1201,2.03846e-05,1102
2025-11-11 18:50:29.776907,99.1201,99.1201,2.03846e-05,1027
2025-11-11 18:50:29.779499,99.1201,99.1201,5.52157e-06,1208
2025-11-11 18:50:29.782025,99.12,99.1201,3.12906e-05,935
2025-11-11 18:50:29.784618,99.12,99.12,3.11404e-05,2057
2025-11-11 18:50:29.787281,99.12,99.12,3.11404e-05,1674
2025-11-11 18:50:29.790075,99.12,99.12,3.81235e-05,2290
2025-11-11 18:50:29.792617,99.12,99.12,3.81235e-05,2126
2025-11-11 18:50:29.794996,99.12,99.12,3.11404e-05,1620
2025-11-11 18:50:29.797719,99.12,99.12,3.81235e-05,2000
2025-11-11 18:50:29.800267,99.12,99.12,3.81235e-05,1967
2025-11-11 18:50:29.802853,99.12,99.12,2.7166e-06,2198
2025-11-11 18:50:29.805518,99.12,99.12,3.81235e-05,1893
2025-11-11 18:50:29.808138,99.12,99.12,3.11404e-05,1760
2025-11-11 18:50:29.810553,99.12,99.1201,3.12906e-05,1081
2025-11-11 18:50:29.813183,99.1201,99.1201,5.52157e-06,1076
2025-11-11 18:50:29.815617,99.1201,99.1201,2.03846e-05,1030
2025-11-11 18:50:29.818084,99.1201,99.1201,5.52157e-06,935
